Channel No.	Counts
1	0.0
2	0.0
3	202061.0
4	4790721.0
5	5103945.0
6	8544077.0
7	13311699.0
8	10576397.0
9	3113709.0
10	1144264.0
11	768113.0
12	599682.0
13	452973.0
14	273347.0
15	132392.0
16	53031.0
17	21842.0
18	11963.0
19	8095.0
20	6353.0
21	4652.0
22	3511.0
23	2557.0
24	1677.0
25	1163.0
26	611.0
27	344.0
28	161.0
29	84.0
30	37.0
31	13.0
32	8.0
33	19.0
34	19.0
35	13.0
36	17.0
37	18.0
38	18.0
39	15.0
40	20.0
41	13.0
42	17.0
43	10.0
44	15.0
45	21.0
46	17.0
47	13.0
48	16.0
49	14.0
50	24.0
51	17.0
52	16.0
53	7.0
54	10.0
55	15.0
56	20.0
57	13.0
58	12.0
59	13.0
60	12.0
61	14.0
62	9.0
63	13.0
64	19.0
65	12.0
66	17.0
67	9.0
68	18.0
69	17.0
70	13.0
71	16.0
72	15.0
73	18.0
74	13.0
75	13.0
76	19.0
77	16.0
78	20.0
79	32.0
80	28.0
81	16.0
82	11.0
83	13.0
84	32.0
85	19.0
86	18.0
87	18.0
88	14.0
89	24.0
90	20.0
91	17.0
92	17.0
93	20.0
94	23.0
95	17.0
96	27.0
97	18.0
98	19.0
99	27.0
100	19.0
101	20.0
102	23.0
103	16.0
104	17.0
105	21.0
106	20.0
107	33.0
108	23.0
109	19.0
110	24.0
111	35.0
112	31.0
113	28.0
114	27.0
115	28.0
116	17.0
117	28.0
118	31.0
119	33.0
120	24.0
121	25.0
122	24.0
123	25.0
124	24.0
125	15.0
126	26.0
127	27.0
128	25.0
129	20.0
130	28.0
131	16.0
132	19.0
133	23.0
134	29.0
135	25.0
136	13.0
137	23.0
138	18.0
139	15.0
140	26.0
141	17.0
142	17.0
143	17.0
144	24.0
145	13.0
146	25.0
147	23.0
148	23.0
149	18.0
150	7.0
151	24.0
152	19.0
153	20.0
154	16.0
155	27.0
156	17.0
157	18.0
158	14.0
159	26.0
160	16.0
161	21.0
162	20.0
163	13.0
164	21.0
165	21.0
166	20.0
167	12.0
168	19.0
169	30.0
170	27.0
171	26.0
172	27.0
173	18.0
174	18.0
175	15.0
176	23.0
177	25.0
178	16.0
179	34.0
180	15.0
181	20.0
182	23.0
183	16.0
184	16.0
185	23.0
186	30.0
187	23.0
188	22.0
189	16.0
190	24.0
191	23.0
192	28.0
193	23.0
194	19.0
195	20.0
196	21.0
197	15.0
198	19.0
199	19.0
200	19.0
201	21.0
202	23.0
203	24.0
204	21.0
205	18.0
206	22.0
207	21.0
208	17.0
209	22.0
210	20.0
211	12.0
212	18.0
213	25.0
214	20.0
215	21.0
216	27.0
217	18.0
218	14.0
219	29.0
220	27.0
221	21.0
222	21.0
223	24.0
224	25.0
225	24.0
226	24.0
227	18.0
228	18.0
229	22.0
230	22.0
231	22.0
232	19.0
233	18.0
234	23.0
235	22.0
236	24.0
237	21.0
238	18.0
239	24.0
240	33.0
241	29.0
242	28.0
