Channel No.	Counts
1	0.0
2	1.0
3	434093.0
4	9426884.0
5	11322513.0
6	10783763.0
7	3651858.0
8	1828723.0
9	1123309.0
10	476616.0
11	104009.0
12	31689.0
13	14585.0
14	9282.0
15	6680.0
16	4496.0
17	2987.0
18	1652.0
19	728.0
20	317.0
21	98.0
22	19.0
23	12.0
24	7.0
25	8.0
26	5.0
27	3.0
28	4.0
29	8.0
30	7.0
31	8.0
32	6.0
33	8.0
34	8.0
35	5.0
36	5.0
37	3.0
38	7.0
39	4.0
40	13.0
41	4.0
42	6.0
43	6.0
44	2.0
45	5.0
46	6.0
47	10.0
48	3.0
49	7.0
50	5.0
51	5.0
52	7.0
53	4.0
54	7.0
55	4.0
56	6.0
57	3.0
58	7.0
59	6.0
60	6.0
61	11.0
62	8.0
63	6.0
64	1.0
65	9.0
66	4.0
67	8.0
68	5.0
69	9.0
70	2.0
71	6.0
72	5.0
73	7.0
74	8.0
75	5.0
76	7.0
77	8.0
78	7.0
79	6.0
80	4.0
81	6.0
82	7.0
83	5.0
84	8.0
85	6.0
86	3.0
87	11.0
88	7.0
89	12.0
90	6.0
91	7.0
92	9.0
93	6.0
94	4.0
95	13.0
96	6.0
97	11.0
98	6.0
99	13.0
100	11.0
101	12.0
102	15.0
103	15.0
104	12.0
105	11.0
106	7.0
107	8.0
108	15.0
109	6.0
110	12.0
111	9.0
112	10.0
113	6.0
114	10.0
115	10.0
116	10.0
117	15.0
118	13.0
119	13.0
120	12.0
121	7.0
122	18.0
123	13.0
124	8.0
125	7.0
126	4.0
127	6.0
128	10.0
129	8.0
130	10.0
131	11.0
132	8.0
133	12.0
134	8.0
135	6.0
136	14.0
137	9.0
138	8.0
139	8.0
140	8.0
141	6.0
142	7.0
143	10.0
144	6.0
145	9.0
146	7.0
147	8.0
148	13.0
149	13.0
150	10.0
151	13.0
152	9.0
153	8.0
154	9.0
155	2.0
156	5.0
157	5.0
158	11.0
159	6.0
160	5.0
161	6.0
162	8.0
163	6.0
164	5.0
165	8.0
166	14.0
167	8.0
168	6.0
169	18.0
170	9.0
171	9.0
172	6.0
173	7.0
174	9.0
175	9.0
176	14.0
177	10.0
178	9.0
179	8.0
180	6.0
181	9.0
182	8.0
183	8.0
184	7.0
185	9.0
186	9.0
187	6.0
188	11.0
189	5.0
190	4.0
191	8.0
192	6.0
193	10.0
194	10.0
195	6.0
196	7.0
197	7.0
198	5.0
199	7.0
200	11.0
201	7.0
202	11.0
203	8.0
204	7.0
205	13.0
206	7.0
207	5.0
208	5.0
209	8.0
210	8.0
211	9.0
212	7.0
213	4.0
214	6.0
215	8.0
216	13.0
217	4.0
218	13.0
219	3.0
220	9.0
221	7.0
222	10.0
223	8.0
224	7.0
225	8.0
226	7.0
227	9.0
228	9.0
229	7.0
230	11.0
231	15.0
232	5.0
233	8.0
234	6.0
235	7.0
236	8.0
237	6.0
238	6.0
239	13.0
240	6.0
241	6.0
242	8.0
243	15.0
244	8.0
245	12.0
246	10.0
247	7.0
248	7.0
249	7.0
250	10.0
251	8.0
252	10.0
253	3.0
254	3.0
255	3.0
256	11.0
257	11.0
258	7.0
259	2.0
260	3.0
261	9.0
262	4.0
263	11.0
264	11.0
265	7.0
266	7.0
267	7.0
268	6.0
269	6.0
270	10.0
271	5.0
272	10.0
273	8.0
274	4.0
275	8.0
276	6.0
277	10.0
278	5.0
279	12.0
280	4.0
281	6.0
282	11.0
283	11.0
284	5.0
285	7.0
286	7.0
287	7.0
288	4.0
289	5.0
290	8.0
291	6.0
292	6.0
293	6.0
294	6.0
295	8.0
296	10.0
297	14.0
298	9.0
299	6.0
300	13.0
301	11.0
302	9.0
303	9.0
304	7.0
305	3.0
306	8.0
307	8.0
308	8.0
309	13.0
310	6.0
311	7.0
312	8.0
313	6.0
314	10.0
315	5.0
316	6.0
317	8.0
318	4.0
319	5.0
320	9.0
321	7.0
322	7.0
323	5.0
324	6.0
325	6.0
326	8.0
327	8.0
328	6.0
329	7.0
330	3.0
331	4.0
332	7.0
333	4.0
334	5.0
335	5.0
336	7.0
337	7.0
338	7.0
339	11.0
340	12.0
341	10.0
342	8.0
343	7.0
344	7.0
345	6.0
346	7.0
347	6.0
348	5.0
349	10.0
350	4.0
351	8.0
352	7.0
353	7.0
354	7.0
355	9.0
356	8.0
357	4.0
358	5.0
359	6.0
360	8.0
361	8.0
362	5.0
363	8.0
364	9.0
365	7.0
366	6.0
367	4.0
368	5.0
369	4.0
370	7.0
371	7.0
372	2.0
373	6.0
374	4.0
375	4.0
376	2.0
377	9.0
378	5.0
379	4.0
380	9.0
381	7.0
382	4.0
383	3.0
384	8.0
385	10.0
386	8.0
387	6.0
388	5.0
389	7.0
390	9.0
391	8.0
392	4.0
393	4.0
394	8.0
395	5.0
396	8.0
397	6.0
398	3.0
399	14.0
400	9.0
401	8.0
402	4.0
403	3.0
404	6.0
405	4.0
406	5.0
407	3.0
408	8.0
409	6.0
410	6.0
411	3.0
412	7.0
413	8.0
414	3.0
415	10.0
416	10.0
417	2.0
418	4.0
419	5.0
420	8.0
421	5.0
422	6.0
423	8.0
424	4.0
425	7.0
426	6.0
427	6.0
428	13.0
429	7.0
430	3.0
431	7.0
432	3.0
433	10.0
434	8.0
435	4.0
436	10.0
437	2.0
438	3.0
439	8.0
440	5.0
441	1.0
442	5.0
443	7.0
444	4.0
445	1.0
446	9.0
447	5.0
448	6.0
449	6.0
450	7.0
451	7.0
452	3.0
453	7.0
454	1.0
455	6.0
456	6.0
457	9.0
458	5.0
459	7.0
460	4.0
461	3.0
462	4.0
463	6.0
464	5.0
465	4.0
466	5.0
