Channel No.	Counts
1	0.0
2	5.0
3	913560.0
4	2781195.0
5	756507.0
6	430606.0
7	220852.0
8	92755.0
9	31061.0
10	12975.0
11	6114.0
12	2769.0
13	1032.0
14	339.0
15	157.0
16	64.0
17	33.0
18	12.0
19	10.0
20	9.0
21	5.0
22	8.0
23	3.0
24	3.0
25	6.0
26	6.0
27	3.0
28	3.0
29	3.0
30	3.0
31	0.0
32	2.0
33	3.0
34	1.0
35	4.0
36	4.0
37	6.0
38	7.0
39	5.0
40	5.0
41	4.0
42	4.0
43	5.0
44	3.0
45	10.0
46	6.0
47	3.0
48	9.0
49	6.0
50	10.0
51	4.0
52	5.0
53	3.0
54	7.0
55	9.0
56	5.0
57	6.0
58	6.0
59	7.0
60	9.0
61	4.0
62	5.0
63	2.0
64	8.0
65	6.0
66	6.0
67	8.0
68	3.0
69	5.0
70	12.0
71	6.0
72	11.0
73	5.0
74	7.0
75	4.0
76	10.0
77	9.0
78	6.0
79	8.0
80	13.0
81	5.0
82	4.0
83	5.0
84	4.0
85	11.0
86	6.0
87	9.0
88	7.0
89	7.0
90	7.0
91	10.0
92	4.0
93	6.0
94	6.0
95	7.0
96	10.0
97	10.0
98	9.0
99	11.0
100	8.0
101	7.0
102	7.0
103	9.0
104	10.0
105	13.0
106	15.0
107	12.0
108	8.0
109	12.0
110	10.0
111	9.0
112	12.0
113	8.0
114	5.0
115	5.0
116	7.0
117	13.0
118	9.0
119	10.0
120	10.0
121	8.0
122	19.0
123	9.0
124	12.0
125	12.0
126	15.0
127	6.0
128	11.0
129	15.0
130	8.0
131	12.0
132	10.0
133	12.0
134	5.0
135	7.0
136	2.0
137	12.0
138	8.0
139	4.0
140	10.0
141	5.0
142	8.0
143	9.0
144	9.0
145	5.0
146	8.0
147	13.0
148	6.0
149	13.0
150	9.0
151	7.0
152	12.0
153	12.0
154	11.0
155	9.0
156	4.0
157	9.0
158	6.0
159	9.0
160	14.0
161	12.0
162	6.0
163	9.0
164	15.0
165	5.0
166	10.0
167	9.0
168	9.0
169	9.0
170	6.0
171	4.0
172	9.0
173	8.0
174	4.0
175	11.0
176	7.0
177	9.0
178	7.0
179	13.0
180	8.0
181	6.0
182	13.0
183	11.0
184	12.0
185	11.0
186	13.0
187	7.0
188	6.0
189	9.0
190	8.0
191	17.0
192	9.0
193	6.0
194	6.0
195	11.0
196	8.0
197	13.0
198	8.0
199	4.0
200	4.0
201	10.0
202	14.0
203	7.0
204	8.0
205	11.0
206	7.0
207	8.0
208	10.0
209	6.0
210	16.0
211	6.0
212	6.0
213	14.0
214	9.0
215	12.0
216	8.0
217	7.0
218	11.0
219	9.0
220	8.0
221	4.0
222	7.0
223	10.0
224	11.0
225	12.0
226	10.0
227	11.0
228	17.0
229	12.0
230	13.0
231	9.0
232	7.0
233	10.0
234	12.0
235	11.0
236	14.0
237	15.0
238	12.0
239	12.0
240	11.0
241	5.0
242	5.0
243	10.0
244	12.0
245	10.0
246	11.0
247	9.0
248	12.0
249	7.0
250	12.0
251	9.0
252	8.0
253	7.0
254	14.0
255	13.0
256	8.0
257	6.0
258	10.0
259	8.0
260	10.0
261	16.0
262	13.0
263	5.0
264	17.0
265	9.0
266	9.0
267	11.0
268	9.0
269	6.0
270	15.0
271	8.0
272	10.0
273	4.0
274	10.0
275	10.0
276	4.0
277	10.0
278	13.0
279	12.0
280	18.0
281	7.0
282	4.0
283	11.0
284	9.0
285	5.0
286	16.0
287	7.0
288	12.0
289	8.0
290	8.0
291	6.0
292	13.0
293	8.0
294	6.0
295	10.0
296	13.0
297	12.0
