Channel No.	Counts
1	0.0
2	13.0
3	1264703.0
4	4091211.0
5	1276261.0
6	670602.0
7	334782.0
8	151061.0
9	60697.0
10	26535.0
11	12016.0
12	5399.0
13	2131.0
14	967.0
15	391.0
16	184.0
17	60.0
18	50.0
19	22.0
20	14.0
21	7.0
22	2.0
23	2.0
24	5.0
25	6.0
26	1.0
27	1.0
28	4.0
29	4.0
30	4.0
31	5.0
32	4.0
33	5.0
34	2.0
35	3.0
36	5.0
37	2.0
38	5.0
39	4.0
40	1.0
41	4.0
42	5.0
43	4.0
44	3.0
45	5.0
46	7.0
47	3.0
48	5.0
49	2.0
50	5.0
51	5.0
52	7.0
53	9.0
54	2.0
55	5.0
56	4.0
57	7.0
58	7.0
59	4.0
60	1.0
61	5.0
62	5.0
63	5.0
64	3.0
65	4.0
66	1.0
67	4.0
68	5.0
69	5.0
70	2.0
71	2.0
72	1.0
73	3.0
74	2.0
75	6.0
76	6.0
77	4.0
78	0.0
79	2.0
80	1.0
81	6.0
82	2.0
83	6.0
84	5.0
85	9.0
86	9.0
87	3.0
88	6.0
89	9.0
90	3.0
91	2.0
92	3.0
93	5.0
94	3.0
95	3.0
96	5.0
97	5.0
98	8.0
99	7.0
100	3.0
101	11.0
102	9.0
103	11.0
104	5.0
105	11.0
106	7.0
107	4.0
108	4.0
109	10.0
110	9.0
111	7.0
112	8.0
113	6.0
114	8.0
115	7.0
116	7.0
117	2.0
118	6.0
119	8.0
120	7.0
121	9.0
122	7.0
123	5.0
124	9.0
125	4.0
126	6.0
127	7.0
128	8.0
129	9.0
130	8.0
131	6.0
132	6.0
133	7.0
134	3.0
135	2.0
136	3.0
137	4.0
138	5.0
139	2.0
140	7.0
141	10.0
142	4.0
143	7.0
144	5.0
145	6.0
146	4.0
147	3.0
148	5.0
149	4.0
150	9.0
151	6.0
152	4.0
153	3.0
154	11.0
155	6.0
156	5.0
157	2.0
158	4.0
159	3.0
160	4.0
161	6.0
162	6.0
163	4.0
164	8.0
165	5.0
166	6.0
167	6.0
168	10.0
169	3.0
170	10.0
171	5.0
172	6.0
173	2.0
174	7.0
175	4.0
176	7.0
177	5.0
178	2.0
179	8.0
180	5.0
181	4.0
182	4.0
183	3.0
184	4.0
185	4.0
186	5.0
187	7.0
188	4.0
189	6.0
190	5.0
191	10.0
192	7.0
193	4.0
194	4.0
195	6.0
196	4.0
197	8.0
198	7.0
199	4.0
200	6.0
201	2.0
202	8.0
203	10.0
204	8.0
205	1.0
206	5.0
207	4.0
208	5.0
209	9.0
210	9.0
211	8.0
212	10.0
213	12.0
214	3.0
215	7.0
216	6.0
217	7.0
218	1.0
219	8.0
220	4.0
221	3.0
222	10.0
223	5.0
224	5.0
225	3.0
226	7.0
227	7.0
228	7.0
229	6.0
230	7.0
231	4.0
232	5.0
233	5.0
234	2.0
235	4.0
236	2.0
237	4.0
238	2.0
239	6.0
240	6.0
241	7.0
242	3.0
243	3.0
244	4.0
245	7.0
246	7.0
247	4.0
248	2.0
249	3.0
250	8.0
251	6.0
252	2.0
253	4.0
254	6.0
255	5.0
256	8.0
257	7.0
258	2.0
259	6.0
260	4.0
261	9.0
262	2.0
263	4.0
264	3.0
265	8.0
266	6.0
267	2.0
268	2.0
269	4.0
270	3.0
271	7.0
272	5.0
273	8.0
274	1.0
275	7.0
276	6.0
277	3.0
278	5.0
279	9.0
280	4.0
281	4.0
282	4.0
283	7.0
284	6.0
285	3.0
286	2.0
287	6.0
288	3.0
289	10.0
290	2.0
291	3.0
292	7.0
293	6.0
294	5.0
295	10.0
296	4.0
297	5.0
298	4.0
299	4.0
300	8.0
301	5.0
302	1.0
303	2.0
304	6.0
305	8.0
306	4.0
307	2.0
308	2.0
309	1.0
310	3.0
311	3.0
312	6.0
313	5.0
314	6.0
315	0.0
316	5.0
317	6.0
318	4.0
319	2.0
320	6.0
321	7.0
322	5.0
323	1.0
324	3.0
325	5.0
326	4.0
327	7.0
328	7.0
329	5.0
330	5.0
331	5.0
332	7.0
333	2.0
334	8.0
335	6.0
336	5.0
337	1.0
338	3.0
339	3.0
340	5.0
341	7.0
342	6.0
343	2.0
344	3.0
345	4.0
346	3.0
347	4.0
348	4.0
349	3.0
350	5.0
351	3.0
352	7.0
353	5.0
354	8.0
355	4.0
356	6.0
357	4.0
358	3.0
359	2.0
360	3.0
361	4.0
362	5.0
363	5.0
364	3.0
365	5.0
366	3.0
367	4.0
368	2.0
369	6.0
370	4.0
371	10.0
372	4.0
373	5.0
374	3.0
375	3.0
376	5.0
377	5.0
378	5.0
379	3.0
380	6.0
381	4.0
382	3.0
383	3.0
384	1.0
385	3.0
386	5.0
387	2.0
388	3.0
389	3.0
390	3.0
391	2.0
392	6.0
393	1.0
394	1.0
395	6.0
396	4.0
397	9.0
398	6.0
399	5.0
400	5.0
401	4.0
402	3.0
403	5.0
404	3.0
405	3.0
406	4.0
407	1.0
408	3.0
409	4.0
410	3.0
411	4.0
412	4.0
413	2.0
414	4.0
415	3.0
416	6.0
417	5.0
418	8.0
419	2.0
420	6.0
421	5.0
422	2.0
423	4.0
424	2.0
425	4.0
426	1.0
427	2.0
428	2.0
429	5.0
430	7.0
431	1.0
432	3.0
433	7.0
434	5.0
435	3.0
436	7.0
437	4.0
438	5.0
439	3.0
440	5.0
441	3.0
442	1.0
443	3.0
444	3.0
445	7.0
446	4.0
447	4.0
448	3.0
449	4.0
450	5.0
451	3.0
452	3.0
453	5.0
454	2.0
455	3.0
456	2.0
457	3.0
458	4.0
459	5.0
460	2.0
461	4.0
462	3.0
463	1.0
464	7.0
465	1.0
466	0.0
467	1.0
468	2.0
469	2.0
470	1.0
471	2.0
472	5.0
473	3.0
474	3.0
475	4.0
476	2.0
477	1.0
478	3.0
479	2.0
480	3.0
481	0.0
482	3.0
483	6.0
484	5.0
485	1.0
486	5.0
487	3.0
488	6.0
489	1.0
490	4.0
491	2.0
492	3.0
493	6.0
494	2.0
495	4.0
496	3.0
497	3.0
498	7.0
499	2.0
500	4.0
501	2.0
502	1.0
503	3.0
504	4.0
505	4.0
506	4.0
507	3.0
508	1.0
509	3.0
510	1.0
511	4.0
512	2.0
513	3.0
514	2.0
515	2.0
516	1.0
517	1.0
518	3.0
519	6.0
520	5.0
521	6.0
522	5.0
523	1.0
524	3.0
525	3.0
526	2.0
527	6.0
528	4.0
529	1.0
530	1.0
531	3.0
532	1.0
533	4.0
534	5.0
535	2.0
536	3.0
537	1.0
538	6.0
539	7.0
540	6.0
541	2.0
542	2.0
543	2.0
544	4.0
545	4.0
546	5.0
547	3.0
548	1.0
549	3.0
550	3.0
551	3.0
552	4.0
553	2.0
554	2.0
555	2.0
556	3.0
557	3.0
558	0.0
559	3.0
560	3.0
561	4.0
562	4.0
563	2.0
564	5.0
565	1.0
566	4.0
567	2.0
568	6.0
569	2.0
570	4.0
571	1.0
572	3.0
573	1.0
574	2.0
575	3.0
576	3.0
577	3.0
578	3.0
579	5.0
580	3.0
581	2.0
582	1.0
583	1.0
584	3.0
585	2.0
586	4.0
587	6.0
588	3.0
589	2.0
590	3.0
591	3.0
592	4.0
593	3.0
594	4.0
595	4.0
596	5.0
597	4.0
598	3.0
599	1.0
600	2.0
601	2.0
602	1.0
603	2.0
604	2.0
605	4.0
606	4.0
607	5.0
608	3.0
609	4.0
610	0.0
611	1.0
612	0.0
613	3.0
614	3.0
615	4.0
616	1.0
617	2.0
618	5.0
619	2.0
620	5.0
621	2.0
622	4.0
623	2.0
624	2.0
625	4.0
626	1.0
627	2.0
628	2.0
629	4.0
630	1.0
631	2.0
632	2.0
633	3.0
634	3.0
635	7.0
636	3.0
637	4.0
638	6.0
639	3.0
640	4.0
641	4.0
642	3.0
643	2.0
644	3.0
645	2.0
646	3.0
647	2.0
648	2.0
649	2.0
650	2.0
651	3.0
652	4.0
653	2.0
654	5.0
655	5.0
656	2.0
657	1.0
658	1.0
659	5.0
660	4.0
661	2.0
662	2.0
663	4.0
664	1.0
665	5.0
666	3.0
667	3.0
668	4.0
669	3.0
670	0.0
671	3.0
672	2.0
673	1.0
674	2.0
675	3.0
676	4.0
677	2.0
678	2.0
679	3.0
680	2.0
681	5.0
682	3.0
683	2.0
684	3.0
685	6.0
686	1.0
687	4.0
688	4.0
689	3.0
690	3.0
691	6.0
692	0.0
693	3.0
694	0.0
695	7.0
696	1.0
697	5.0
698	2.0
699	6.0
700	1.0
701	2.0
702	2.0
703	6.0
704	4.0
705	2.0
706	2.0
707	3.0
708	5.0
709	1.0
710	0.0
711	3.0
712	3.0
713	2.0
714	0.0
715	2.0
716	4.0
717	3.0
718	3.0
719	3.0
720	1.0
721	1.0
722	2.0
723	1.0
724	3.0
725	2.0
726	1.0
727	1.0
728	2.0
729	5.0
730	4.0
731	1.0
732	1.0
733	2.0
734	3.0
735	1.0
736	7.0
737	2.0
738	3.0
739	3.0
740	1.0
741	3.0
742	2.0
743	0.0
744	2.0
745	4.0
746	4.0
747	1.0
748	5.0
749	5.0
750	1.0
751	2.0
752	2.0
753	2.0
754	2.0
755	3.0
756	3.0
757	6.0
758	6.0
759	1.0
760	3.0
761	2.0
762	1.0
763	3.0
764	2.0
765	3.0
766	0.0
767	1.0
768	2.0
769	4.0
770	3.0
771	2.0
772	1.0
773	0.0
774	3.0
775	2.0
776	2.0
777	3.0
778	2.0
779	3.0
780	1.0
781	1.0
782	2.0
783	3.0
784	5.0
785	1.0
786	3.0
787	3.0
788	2.0
789	2.0
790	3.0
791	1.0
792	1.0
793	3.0
794	4.0
795	0.0
796	3.0
797	5.0
798	4.0
799	1.0
800	2.0
801	2.0
802	1.0
803	2.0
804	4.0
805	2.0
806	1.0
807	2.0
808	3.0
809	1.0
810	2.0
811	4.0
812	3.0
813	4.0
814	5.0
815	2.0
816	4.0
817	3.0
818	2.0
819	0.0
820	2.0
821	0.0
822	4.0
823	2.0
824	6.0
825	3.0
826	1.0
827	6.0
828	3.0
829	2.0
830	3.0
831	2.0
832	7.0
