Channel No.	Counts
1	0.0
2	10.0
3	74502.0
4	302770.0
5	18616.0
6	4262.0
7	1552.0
8	560.0
9	200.0
10	101.0
11	118.0
12	128.0
13	105.0
14	107.0
15	125.0
16	136.0
17	136.0
18	173.0
19	171.0
20	244.0
21	303.0
22	357.0
23	458.0
24	568.0
25	713.0
26	878.0
27	1000.0
28	1129.0
29	1215.0
30	1306.0
31	1410.0
32	1396.0
33	1296.0
34	1255.0
35	1135.0
36	1163.0
37	1067.0
38	1009.0
39	961.0
40	959.0
41	1005.0
42	956.0
43	978.0
44	1031.0
45	1046.0
46	1021.0
47	982.0
48	1014.0
49	968.0
50	996.0
51	894.0
52	817.0
53	808.0
54	691.0
55	651.0
56	540.0
57	517.0
58	442.0
59	394.0
60	332.0
61	304.0
62	295.0
63	250.0
64	246.0
65	243.0
66	232.0
67	238.0
68	234.0
69	242.0
70	240.0
71	263.0
72	274.0
73	281.0
74	318.0
75	386.0
76	443.0
77	502.0
78	586.0
79	646.0
80	823.0
81	930.0
82	1048.0
83	1207.0
84	1405.0
85	1686.0
86	1908.0
87	2157.0
88	2368.0
89	2616.0
90	2848.0
91	3036.0
92	3146.0
93	3292.0
94	3495.0
95	3494.0
96	3668.0
97	3416.0
98	3389.0
99	3249.0
100	3109.0
101	2967.0
102	2732.0
103	2499.0
104	2174.0
105	1982.0
106	1740.0
107	1540.0
108	1289.0
109	1120.0
110	882.0
111	691.0
112	569.0
113	474.0
114	321.0
115	279.0
116	214.0
117	156.0
118	115.0
119	101.0
120	84.0
121	55.0
122	30.0
123	35.0
124	14.0
125	17.0
126	15.0
127	12.0
128	7.0
129	7.0
130	5.0
131	11.0
132	7.0
133	8.0
134	5.0
135	5.0
136	5.0
137	6.0
138	12.0
139	10.0
140	8.0
141	5.0
142	0.0
143	6.0
144	10.0
145	6.0
146	6.0
147	5.0
148	5.0
149	8.0
150	5.0
151	5.0
152	5.0
153	8.0
154	7.0
155	8.0
156	9.0
157	7.0
158	6.0
159	6.0
160	10.0
161	7.0
162	8.0
163	7.0
164	4.0
165	2.0
166	4.0
167	7.0
168	5.0
169	4.0
170	4.0
171	5.0
172	4.0
173	2.0
174	2.0
175	1.0
176	2.0
177	1.0
178	6.0
179	6.0
180	4.0
181	3.0
182	4.0
183	3.0
184	6.0
185	6.0
186	8.0
187	1.0
188	3.0
189	7.0
190	6.0
191	1.0
192	6.0
193	3.0
194	0.0
195	6.0
196	5.0
197	0.0
198	8.0
199	4.0
200	3.0
201	2.0
202	3.0
203	1.0
204	2.0
205	0.0
206	1.0
207	2.0
208	2.0
209	0.0
210	2.0
211	2.0
212	1.0
213	3.0
214	0.0
215	1.0
216	1.0
217	4.0
218	1.0
219	2.0
220	3.0
221	1.0
222	0.0
223	3.0
224	3.0
225	2.0
226	4.0
227	2.0
228	1.0
229	5.0
230	2.0
231	2.0
232	8.0
233	1.0
234	2.0
235	2.0
236	0.0
237	1.0
238	1.0
239	0.0
240	1.0
241	0.0
242	4.0
243	1.0
244	3.0
245	0.0
246	5.0
247	0.0
248	0.0
249	0.0
250	1.0
251	2.0
252	4.0
253	2.0
254	0.0
255	3.0
256	2.0
257	3.0
258	0.0
259	1.0
260	1.0
261	5.0
262	2.0
263	1.0
264	0.0
265	2.0
266	1.0
267	0.0
268	2.0
269	0.0
270	0.0
271	1.0
272	2.0
273	1.0
274	1.0
275	0.0
276	3.0
277	0.0
278	1.0
279	2.0
280	1.0
281	2.0
282	1.0
283	3.0
284	0.0
285	1.0
286	0.0
287	3.0
288	2.0
289	2.0
290	0.0
291	1.0
292	2.0
293	1.0
294	2.0
295	2.0
296	3.0
297	1.0
298	2.0
299	1.0
300	1.0
301	0.0
302	1.0
303	3.0
304	1.0
305	0.0
306	1.0
307	2.0
308	1.0
309	1.0
310	3.0
311	1.0
312	0.0
313	1.0
314	1.0
315	0.0
316	1.0
317	0.0
318	1.0
319	2.0
320	2.0
321	1.0
322	1.0
323	0.0
324	3.0
325	0.0
326	1.0
327	2.0
328	0.0
329	0.0
330	0.0
331	0.0
332	4.0
333	2.0
334	2.0
335	3.0
336	1.0
337	2.0
338	3.0
339	0.0
340	1.0
341	1.0
342	1.0
343	2.0
344	0.0
345	1.0
346	2.0
347	1.0
348	0.0
349	1.0
350	1.0
351	2.0
352	1.0
353	0.0
354	0.0
355	2.0
356	1.0
357	1.0
358	0.0
359	2.0
360	1.0
361	1.0
362	3.0
363	2.0
364	2.0
365	0.0
366	1.0
367	0.0
368	3.0
369	1.0
370	0.0
371	2.0
372	2.0
373	2.0
374	1.0
375	1.0
376	2.0
377	0.0
378	0.0
379	2.0
380	0.0
381	1.0
382	2.0
383	0.0
384	1.0
385	0.0
386	2.0
387	5.0
388	0.0
389	1.0
390	0.0
391	3.0
392	1.0
393	3.0
394	1.0
395	0.0
396	1.0
397	2.0
398	1.0
399	0.0
400	1.0
401	4.0
402	0.0
403	1.0
404	1.0
405	0.0
406	1.0
407	2.0
408	0.0
409	1.0
410	0.0
411	0.0
412	1.0
413	0.0
414	0.0
415	0.0
416	0.0
417	0.0
418	1.0
419	2.0
420	1.0
421	0.0
422	1.0
423	1.0
424	2.0
425	2.0
426	0.0
427	1.0
428	0.0
429	1.0
430	2.0
431	1.0
432	0.0
433	1.0
434	1.0
435	0.0
436	1.0
437	1.0
438	0.0
439	2.0
440	0.0
441	0.0
442	0.0
443	0.0
444	1.0
445	0.0
446	1.0
447	2.0
448	2.0
449	0.0
450	1.0
451	0.0
452	0.0
453	0.0
454	1.0
455	0.0
456	1.0
457	1.0
458	0.0
459	1.0
460	0.0
461	2.0
462	0.0
463	0.0
464	0.0
465	0.0
466	0.0
467	4.0
468	1.0
469	0.0
470	0.0
471	0.0
472	0.0
473	2.0
474	1.0
475	0.0
476	0.0
477	3.0
478	1.0
479	0.0
480	0.0
481	1.0
482	1.0
483	2.0
484	0.0
485	0.0
486	0.0
487	2.0
488	2.0
489	1.0
490	2.0
491	1.0
492	0.0
493	0.0
494	1.0
495	0.0
496	1.0
497	2.0
498	0.0
499	2.0
500	1.0
501	1.0
502	1.0
503	3.0
504	0.0
505	1.0
506	0.0
507	1.0
508	0.0
509	0.0
510	1.0
511	2.0
512	3.0
513	1.0
514	1.0
515	0.0
516	0.0
517	1.0
518	4.0
519	1.0
520	1.0
521	2.0
522	1.0
523	1.0
524	1.0
525	2.0
526	1.0
527	0.0
528	1.0
529	0.0
530	1.0
531	1.0
532	1.0
533	0.0
534	0.0
535	0.0
536	0.0
537	0.0
538	1.0
539	0.0
540	2.0
541	2.0
542	0.0
