Channel No.	Counts
1	0.0
2	19.0
3	23910.0
4	761326.0
5	522606.0
6	501399.0
7	385435.0
8	163901.0
9	56641.0
10	31547.0
11	23459.0
12	17895.0
13	13186.0
14	8409.0
15	4641.0
16	2167.0
17	1199.0
18	937.0
19	750.0
20	638.0
21	601.0
22	501.0
23	449.0
24	458.0
25	423.0
26	462.0
27	460.0
28	470.0
29	446.0
30	457.0
31	467.0
32	489.0
33	467.0
34	466.0
35	468.0
36	434.0
37	482.0
38	455.0
39	497.0
40	461.0
41	442.0
42	475.0
43	510.0
44	426.0
45	447.0
46	461.0
47	470.0
48	457.0
49	461.0
50	448.0
51	441.0
52	406.0
53	373.0
54	399.0
55	342.0
56	316.0
57	279.0
58	265.0
59	265.0
60	275.0
61	244.0
62	254.0
63	237.0
64	197.0
65	223.0
66	205.0
67	192.0
68	229.0
69	261.0
70	256.0
71	244.0
72	277.0
73	308.0
74	314.0
75	410.0
76	398.0
77	456.0
78	500.0
79	548.0
80	601.0
81	736.0
82	743.0
83	841.0
84	850.0
85	954.0
86	1026.0
87	1104.0
88	1179.0
89	1191.0
90	1237.0
91	1156.0
92	1229.0
93	1230.0
94	1179.0
95	1261.0
96	1197.0
97	1112.0
98	1123.0
99	1029.0
100	965.0
101	953.0
102	781.0
103	784.0
104	707.0
105	651.0
106	555.0
107	481.0
108	451.0
109	403.0
110	339.0
111	256.0
112	213.0
113	203.0
114	166.0
115	185.0
116	123.0
117	126.0
118	107.0
119	85.0
120	74.0
121	69.0
122	54.0
123	62.0
124	64.0
125	47.0
126	39.0
127	46.0
128	58.0
129	31.0
130	60.0
131	43.0
132	55.0
133	60.0
134	28.0
135	40.0
136	47.0
137	40.0
138	42.0
139	37.0
140	46.0
141	42.0
142	34.0
143	41.0
144	32.0
145	33.0
146	36.0
147	31.0
148	23.0
149	28.0
150	36.0
151	35.0
152	30.0
153	29.0
154	31.0
155	34.0
156	31.0
157	22.0
158	27.0
159	25.0
160	40.0
161	28.0
162	50.0
163	29.0
164	39.0
165	34.0
166	36.0
167	30.0
168	41.0
169	31.0
170	27.0
171	27.0
172	32.0
173	43.0
174	28.0
175	28.0
176	30.0
177	37.0
178	37.0
179	38.0
180	32.0
181	16.0
182	32.0
183	23.0
184	36.0
185	23.0
186	30.0
187	28.0
188	30.0
189	24.0
190	27.0
191	33.0
192	23.0
193	24.0
194	23.0
195	33.0
196	41.0
197	31.0
198	28.0
199	35.0
200	25.0
201	29.0
202	31.0
203	27.0
204	25.0
205	34.0
206	27.0
207	25.0
208	37.0
209	26.0
210	31.0
211	36.0
212	32.0
213	38.0
214	34.0
215	35.0
216	28.0
217	32.0
218	36.0
219	28.0
220	24.0
221	36.0
222	25.0
223	31.0
224	30.0
225	42.0
226	33.0
227	28.0
228	34.0
229	34.0
230	28.0
231	33.0
232	25.0
233	33.0
234	37.0
235	35.0
236	34.0
237	30.0
238	28.0
239	32.0
240	29.0
241	30.0
242	30.0
243	38.0
244	43.0
245	42.0
246	35.0
247	46.0
248	29.0
249	44.0
250	34.0
251	47.0
252	28.0
253	31.0
254	37.0
255	36.0
256	32.0
257	30.0
258	31.0
259	44.0
260	38.0
261	48.0
262	41.0
263	34.0
264	49.0
265	38.0
266	35.0
267	33.0
268	41.0
269	35.0
270	28.0
271	42.0
272	36.0
273	42.0
274	39.0
275	32.0
276	40.0
277	31.0
278	34.0
279	49.0
280	35.0
281	38.0
282	31.0
283	42.0
284	37.0
285	31.0
286	27.0
287	28.0
288	37.0
289	40.0
290	42.0
291	44.0
292	40.0
293	39.0
294	39.0
295	43.0
296	45.0
297	40.0
298	32.0
299	46.0
300	38.0
301	34.0
302	42.0
303	34.0
304	43.0
305	38.0
306	38.0
307	45.0
308	34.0
309	32.0
310	38.0
311	45.0
312	39.0
313	40.0
314	34.0
315	28.0
316	37.0
317	38.0
318	33.0
319	34.0
320	51.0
321	45.0
322	39.0
323	37.0
324	42.0
325	32.0
326	45.0
327	39.0
328	43.0
329	31.0
330	28.0
331	35.0
332	32.0
333	41.0
334	27.0
335	30.0
336	42.0
337	47.0
338	30.0
339	33.0
340	30.0
341	40.0
342	28.0
343	38.0
344	43.0
345	36.0
346	38.0
347	37.0
348	34.0
349	38.0
350	36.0
351	36.0
352	34.0
353	40.0
354	35.0
355	46.0
356	34.0
357	41.0
358	43.0
359	34.0
360	35.0
361	43.0
362	35.0
363	40.0
364	44.0
365	39.0
366	29.0
367	40.0
368	45.0
369	36.0
370	37.0
371	36.0
372	28.0
373	38.0
374	29.0
375	36.0
376	25.0
377	33.0
378	26.0
379	43.0
380	30.0
381	29.0
382	47.0
383	30.0
384	30.0
385	34.0
386	33.0
387	37.0
388	31.0
389	35.0
390	24.0
391	46.0
392	36.0
393	37.0
394	35.0
395	31.0
396	33.0
397	33.0
398	28.0
399	23.0
400	26.0
401	44.0
402	29.0
403	24.0
404	22.0
405	32.0
406	36.0
407	35.0
408	27.0
409	32.0
410	29.0
411	22.0
412	27.0
413	36.0
414	35.0
415	24.0
416	28.0
417	35.0
418	34.0
419	34.0
420	28.0
