Channel No.	Counts
1	0.0
2	0.0
3	1154182.0
4	7980095.0
5	1710975.0
6	465886.0
7	67465.0
8	14046.0
9	5686.0
10	2698.0
11	1075.0
12	266.0
13	59.0
14	15.0
15	7.0
16	2.0
17	8.0
18	10.0
19	5.0
20	3.0
21	8.0
22	4.0
23	9.0
24	7.0
25	3.0
26	5.0
27	3.0
28	6.0
29	3.0
30	5.0
31	4.0
32	1.0
33	6.0
34	2.0
35	6.0
36	4.0
37	3.0
38	3.0
39	5.0
40	5.0
41	5.0
42	5.0
43	6.0
44	8.0
45	3.0
46	6.0
47	5.0
48	4.0
49	6.0
50	4.0
51	5.0
52	5.0
53	6.0
54	4.0
55	7.0
56	6.0
57	3.0
58	5.0
59	7.0
60	3.0
61	1.0
62	4.0
63	8.0
64	2.0
65	4.0
66	4.0
67	6.0
68	2.0
69	4.0
70	10.0
71	6.0
72	5.0
73	9.0
74	3.0
75	7.0
76	4.0
77	11.0
78	2.0
79	1.0
80	5.0
81	5.0
82	6.0
83	7.0
84	1.0
85	6.0
86	5.0
87	7.0
88	2.0
89	6.0
90	7.0
91	8.0
92	6.0
93	5.0
94	5.0
95	5.0
96	6.0
97	9.0
98	8.0
99	4.0
100	4.0
101	6.0
102	5.0
103	7.0
104	8.0
105	6.0
106	5.0
107	7.0
108	3.0
109	7.0
110	5.0
111	6.0
112	9.0
113	11.0
114	10.0
115	11.0
116	7.0
117	9.0
118	8.0
119	10.0
120	9.0
121	10.0
122	14.0
123	10.0
124	7.0
125	6.0
126	7.0
127	6.0
128	12.0
129	6.0
130	10.0
131	4.0
132	9.0
133	14.0
134	13.0
135	6.0
136	8.0
137	4.0
138	3.0
139	7.0
140	10.0
141	14.0
142	10.0
143	7.0
144	8.0
145	9.0
146	10.0
147	9.0
148	8.0
149	5.0
150	5.0
151	7.0
152	7.0
153	9.0
154	7.0
155	9.0
156	6.0
157	9.0
158	9.0
159	11.0
160	12.0
161	9.0
162	8.0
163	8.0
164	14.0
165	10.0
166	7.0
167	10.0
168	6.0
169	7.0
170	12.0
171	8.0
172	6.0
173	13.0
174	7.0
175	7.0
176	12.0
177	13.0
178	13.0
179	8.0
180	8.0
181	10.0
182	6.0
183	9.0
184	12.0
185	9.0
186	12.0
187	5.0
188	5.0
189	9.0
190	6.0
191	15.0
192	4.0
193	11.0
194	14.0
195	13.0
196	3.0
197	9.0
198	11.0
199	8.0
200	8.0
201	8.0
202	10.0
203	8.0
204	10.0
205	6.0
206	7.0
207	9.0
208	8.0
209	13.0
210	10.0
211	13.0
212	13.0
213	5.0
214	12.0
215	11.0
216	12.0
217	11.0
218	15.0
219	13.0
220	12.0
221	9.0
222	13.0
223	7.0
224	5.0
225	9.0
226	13.0
227	8.0
228	20.0
229	10.0
230	20.0
231	5.0
232	15.0
233	27.0
234	13.0
235	21.0
236	10.0
237	11.0
238	15.0
239	9.0
240	15.0
241	11.0
242	15.0
243	11.0
244	10.0
245	8.0
