Channel No.	Counts
1	0.0
2	0.0
3	694102.0
4	11979331.0
5	2347790.0
6	1002398.0
7	191623.0
8	44495.0
9	12143.0
10	5132.0
11	2381.0
12	1016.0
13	335.0
14	85.0
15	16.0
16	5.0
17	10.0
18	3.0
19	7.0
20	9.0
21	5.0
22	7.0
23	4.0
24	1.0
25	5.0
26	5.0
27	5.0
28	8.0
29	3.0
30	4.0
31	6.0
32	7.0
33	2.0
34	5.0
35	7.0
36	1.0
37	6.0
38	5.0
39	4.0
40	5.0
41	6.0
42	7.0
43	6.0
44	3.0
45	2.0
46	1.0
47	5.0
48	3.0
49	4.0
50	3.0
51	3.0
52	5.0
53	2.0
54	6.0
55	1.0
56	2.0
57	5.0
58	4.0
59	2.0
60	6.0
61	2.0
62	5.0
63	2.0
64	4.0
65	5.0
66	7.0
67	5.0
68	5.0
69	9.0
70	1.0
71	5.0
72	3.0
73	7.0
74	4.0
75	3.0
76	5.0
77	5.0
78	5.0
79	4.0
80	5.0
81	9.0
82	4.0
83	6.0
84	11.0
85	6.0
86	10.0
87	4.0
88	6.0
89	6.0
90	11.0
91	8.0
92	9.0
93	2.0
94	9.0
95	5.0
96	7.0
97	8.0
98	7.0
99	5.0
100	7.0
101	6.0
102	8.0
103	11.0
104	9.0
105	5.0
106	9.0
107	11.0
108	7.0
109	6.0
110	10.0
111	9.0
112	3.0
113	5.0
114	6.0
115	9.0
116	10.0
117	8.0
118	10.0
119	11.0
120	5.0
121	3.0
122	7.0
123	6.0
124	10.0
125	5.0
126	12.0
127	7.0
128	4.0
129	5.0
130	4.0
131	10.0
132	7.0
133	12.0
134	5.0
135	6.0
136	4.0
137	9.0
138	9.0
139	6.0
140	7.0
141	7.0
142	8.0
143	4.0
144	10.0
145	7.0
146	6.0
147	3.0
148	4.0
149	5.0
150	10.0
151	7.0
152	9.0
153	12.0
154	5.0
155	7.0
156	8.0
157	6.0
158	10.0
159	8.0
160	2.0
161	10.0
162	7.0
163	3.0
164	7.0
165	5.0
166	9.0
167	4.0
168	10.0
169	9.0
170	5.0
171	6.0
172	6.0
173	6.0
174	4.0
175	12.0
176	6.0
177	9.0
178	10.0
179	4.0
180	10.0
181	4.0
182	5.0
183	8.0
184	8.0
185	5.0
186	5.0
187	7.0
188	9.0
189	5.0
190	8.0
191	4.0
192	8.0
193	4.0
194	4.0
195	12.0
196	7.0
197	10.0
198	5.0
199	6.0
200	11.0
201	6.0
202	4.0
203	10.0
204	5.0
205	7.0
206	4.0
207	8.0
208	9.0
209	4.0
210	7.0
211	4.0
212	8.0
213	9.0
214	6.0
215	6.0
216	6.0
217	6.0
218	4.0
219	6.0
220	7.0
221	10.0
222	4.0
223	4.0
224	8.0
225	2.0
226	9.0
227	6.0
228	4.0
229	5.0
230	9.0
231	3.0
232	4.0
233	12.0
234	4.0
235	7.0
236	6.0
237	6.0
238	5.0
239	6.0
240	6.0
241	7.0
242	6.0
243	6.0
244	7.0
