Channel No.	Counts
1	0.0
2	0.0
3	463600.0
4	9554162.0
5	11388146.0
6	10182126.0
7	3535804.0
8	1822796.0
9	1139307.0
10	524116.0
11	137068.0
12	44746.0
13	19437.0
14	10855.0
15	7831.0
16	5605.0
17	3798.0
18	2324.0
19	1311.0
20	575.0
21	221.0
22	75.0
23	35.0
24	18.0
25	14.0
26	13.0
27	15.0
28	14.0
29	8.0
30	7.0
31	10.0
32	8.0
33	6.0
34	4.0
35	3.0
36	6.0
37	9.0
38	2.0
39	1.0
40	7.0
41	12.0
42	6.0
43	3.0
44	5.0
45	4.0
46	8.0
47	10.0
48	6.0
49	8.0
50	6.0
51	8.0
52	8.0
53	7.0
54	3.0
55	2.0
56	9.0
57	6.0
58	8.0
59	5.0
60	9.0
61	6.0
62	5.0
63	5.0
64	7.0
65	4.0
66	3.0
67	9.0
68	10.0
69	9.0
70	7.0
71	12.0
72	6.0
73	10.0
74	5.0
75	6.0
76	2.0
77	7.0
78	6.0
79	4.0
80	4.0
81	5.0
82	9.0
83	4.0
84	4.0
85	7.0
86	7.0
87	3.0
88	12.0
89	12.0
90	6.0
91	6.0
92	12.0
93	7.0
94	10.0
95	14.0
96	8.0
97	5.0
98	5.0
99	13.0
100	8.0
101	13.0
102	9.0
103	11.0
104	13.0
105	13.0
106	6.0
107	8.0
108	8.0
109	7.0
110	12.0
111	8.0
112	11.0
113	9.0
114	14.0
115	12.0
116	16.0
117	13.0
118	12.0
119	16.0
120	7.0
121	14.0
122	12.0
123	5.0
124	8.0
125	10.0
126	10.0
127	5.0
128	7.0
129	7.0
130	8.0
131	15.0
132	7.0
133	3.0
134	7.0
135	8.0
136	4.0
137	7.0
138	10.0
139	7.0
140	9.0
141	10.0
142	14.0
143	8.0
144	12.0
145	5.0
146	5.0
147	9.0
148	10.0
149	9.0
150	6.0
151	5.0
152	5.0
153	3.0
154	11.0
155	9.0
156	5.0
157	13.0
158	10.0
159	11.0
160	9.0
161	13.0
162	3.0
163	7.0
164	9.0
165	8.0
166	9.0
167	8.0
168	7.0
169	7.0
170	9.0
171	10.0
172	13.0
173	12.0
174	10.0
175	7.0
176	6.0
177	6.0
178	6.0
179	6.0
180	4.0
181	9.0
182	8.0
183	11.0
184	6.0
185	7.0
186	7.0
187	8.0
188	6.0
189	5.0
190	5.0
191	7.0
192	6.0
193	6.0
194	6.0
195	10.0
196	6.0
197	10.0
198	9.0
199	12.0
200	9.0
201	9.0
202	8.0
203	9.0
204	7.0
205	7.0
206	7.0
207	9.0
208	7.0
209	3.0
210	7.0
211	9.0
212	8.0
213	12.0
214	12.0
215	10.0
216	8.0
217	12.0
218	5.0
219	8.0
220	8.0
221	9.0
222	10.0
223	5.0
224	6.0
225	5.0
226	17.0
227	10.0
228	8.0
229	10.0
230	6.0
231	9.0
232	10.0
233	5.0
234	9.0
235	13.0
236	5.0
237	7.0
238	7.0
239	3.0
240	5.0
241	12.0
242	5.0
243	13.0
