Channel No.	Counts
1	0.0
2	5.0
3	574072.0
4	10622453.0
5	12222473.0
6	7912194.0
7	2858666.0
8	1707401.0
9	1033051.0
10	417663.0
11	131713.0
12	46111.0
13	18787.0
14	10304.0
15	6736.0
16	4274.0
17	2496.0
18	1320.0
19	581.0
20	214.0
21	53.0
22	21.0
23	23.0
24	8.0
25	9.0
26	9.0
27	10.0
28	8.0
29	9.0
30	8.0
31	9.0
32	8.0
33	9.0
34	11.0
35	5.0
36	7.0
37	8.0
38	9.0
39	8.0
40	11.0
41	8.0
42	11.0
43	10.0
44	15.0
45	8.0
46	9.0
47	6.0
48	7.0
49	8.0
50	10.0
51	9.0
52	8.0
53	5.0
54	10.0
55	9.0
56	11.0
57	8.0
58	8.0
59	14.0
60	4.0
61	11.0
62	10.0
63	11.0
64	9.0
65	13.0
66	13.0
67	6.0
68	5.0
69	6.0
70	9.0
71	8.0
72	13.0
73	8.0
74	6.0
75	13.0
76	15.0
77	5.0
78	10.0
79	8.0
80	11.0
81	14.0
82	13.0
83	11.0
84	6.0
85	7.0
86	7.0
87	8.0
88	12.0
89	12.0
90	9.0
91	13.0
92	10.0
93	20.0
94	13.0
95	9.0
96	6.0
97	5.0
98	13.0
99	14.0
100	16.0
101	11.0
102	12.0
103	13.0
104	16.0
105	9.0
106	7.0
107	15.0
108	8.0
109	16.0
110	17.0
111	11.0
112	16.0
113	12.0
114	17.0
115	11.0
116	12.0
117	9.0
118	16.0
119	16.0
120	14.0
121	19.0
122	12.0
123	12.0
124	16.0
125	9.0
126	13.0
127	11.0
128	20.0
129	17.0
130	16.0
131	13.0
132	7.0
133	16.0
134	10.0
135	8.0
136	12.0
137	14.0
138	13.0
139	9.0
140	19.0
141	18.0
142	5.0
143	12.0
144	13.0
145	14.0
146	11.0
147	14.0
148	11.0
149	7.0
150	9.0
151	12.0
152	9.0
153	12.0
154	17.0
155	15.0
156	16.0
157	11.0
158	18.0
159	7.0
160	8.0
161	17.0
162	15.0
163	16.0
164	11.0
165	16.0
166	8.0
167	13.0
168	18.0
169	17.0
170	10.0
171	13.0
172	12.0
173	16.0
174	9.0
175	20.0
176	13.0
177	12.0
178	15.0
179	12.0
180	16.0
181	11.0
182	18.0
183	12.0
184	11.0
185	8.0
186	19.0
187	15.0
188	15.0
189	11.0
190	14.0
191	23.0
192	16.0
193	6.0
194	19.0
195	18.0
196	22.0
197	11.0
198	12.0
199	13.0
200	17.0
201	18.0
202	16.0
203	17.0
204	17.0
205	18.0
206	7.0
207	14.0
208	14.0
209	17.0
210	20.0
211	14.0
212	15.0
213	17.0
214	13.0
215	14.0
216	6.0
217	19.0
218	15.0
219	13.0
220	12.0
221	9.0
222	13.0
223	10.0
224	15.0
225	14.0
226	16.0
227	14.0
228	15.0
229	22.0
230	8.0
231	12.0
232	14.0
233	17.0
234	19.0
235	14.0
236	13.0
237	9.0
238	13.0
239	12.0
240	14.0
241	15.0
242	16.0
243	19.0
244	5.0
245	11.0
246	19.0
247	24.0
248	7.0
249	12.0
250	11.0
251	13.0
252	9.0
253	11.0
254	13.0
255	11.0
256	9.0
257	15.0
258	14.0
259	9.0
260	11.0
261	9.0
262	11.0
263	12.0
264	8.0
265	9.0
266	12.0
267	12.0
268	15.0
269	15.0
270	12.0
271	16.0
272	18.0
273	6.0
274	10.0
275	11.0
276	15.0
277	15.0
278	9.0
279	16.0
280	5.0
281	9.0
282	16.0
283	14.0
284	14.0
285	12.0
286	11.0
287	12.0
288	17.0
289	12.0
290	26.0
291	14.0
292	15.0
293	17.0
294	11.0
295	10.0
296	11.0
